date,floor,bedroom,bathroom,square,district,investor,price
29/09/2020,0,NULL,NULL,100.0,Cầu Giấy,Golden Park Tower,NULL
28/09/2020,0,1,1,53.0,Hai Bà Trưng,Times City,1850.0
30/09/2020,1,1,1,53.0,Hai Bà Trưng,Times City,1800.0
30/09/2020,4,2,NULL,85.6,Cầu Giấy,Mipec Rubik 360,NULL
30/09/2020,4,3,2,174.0,Thanh Xuân,Diamond Flower Tower,5600.0
30/09/2020,2,4,NULL,156.0,Nam Từ Liêm,Vinhomes Skylake,8500.0
30/09/2020,0,2,2,87.0,Tây Hồ,Lạc Hồng Westlake,2350.0
30/09/2020,3,NULL,NULL,63.6,Long Biên,Eco City Việt Hưng,1900.0
30/09/2020,1,2,NULL,55.0,Nam Từ Liêm,FLC Garden City,924.0
30/09/2020,4,NULL,NULL,NULL,Hoàng Mai,Green Park Trần Thủ Độ,NULL
30/09/2020,2,2,NULL,NULL,Hoàng Mai,Green Park Trần Thủ Độ,1400.0
30/09/2020,2,3,2,64.5,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,2100.0
30/09/2020,1,3,NULL,111.0,Tây Hồ,D’. Le Roi Soleil - Quảng An,6600.0
30/09/2020,1,2,2,49.0,Nam Từ Liêm,FLC Garden City,980.0
30/09/2020,4,1,NULL,53.0,Hai Bà Trưng,Times City,1900.0
30/09/2020,2,NULL,NULL,NULL,Hai Bà Trưng,Imperia Sky Garden,NULL
30/09/2020,4,2,2,80.0,Hà Đông,Anland Lake View,1800.0
30/09/2020,3,NULL,NULL,91.0,Hà Nội,KĐT Tây Hồ Tây - Starlake Hà Nội,4641.0
30/09/2020,1,3,NULL,133.0,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,1600.0
29/09/2020,0,3,2,92.0,Bắc Từ Liêm,IA20 Ciputra,NULL
30/09/2020,3,3,2,145.0,Tây Hồ,Khu đô thị Nam Thăng Long - Ciputra,3700.0
29/09/2020,3,2,1,NULL,Gia Lâm,Vinhomes Ocean Park Gia Lâm,1508.0
29/09/2020,0,3,3,188.0,Thanh Xuân,Royal City,8000.0
29/09/2020,4,2,2,72.0,Bắc Từ Liêm,An Bình City,2350.0
29/09/2020,2,3,NULL,74.0,Gia Lâm,Vinhomes Ocean Park Gia Lâm,2300.0
29/09/2020,3,2,2,65.9,Thạch Thất,Phenikaa Hòa Lạc,869.88
29/09/2020,4,2,NULL,76.0,Cầu Giấy,Cầu Giấy Center Point,2736.0
29/09/2020,1,1,1,55.0,Hai Bà Trưng,Times City,1800.0
29/09/2020,1,2,NULL,60.0,Hoàng Mai,Rose Town,1400.0
